cx,cy,cz,a,b,theta,A1,A2,phi1,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.8,2.3,11.7,7.8,6,27,2,-6,0,-9.892739076,-1.670538297,-0.791434437,-0.076487194,-1.013278048,-0.052008029,-1.592432127,-0.138209077,-0.511922658,-1.516290064,-0.181858673,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.8_cy=2.3_cz=11.7.log
0.9,2.3,11.7,7.8,6,27,2,-6,0,-9.88426769,-1.69299688,-0.771636497,-0.077403359,-0.970174385,-0.050100398,-1.573437399,-0.135297431,-0.474767791,-1.58005763,-0.184136534,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.9_cy=2.3_cz=11.7.log
-0.9,2.3,11.7,7.8,6,27,2,-6,0,-9.884261415,-0.771636497,-1.692990605,-0.050100398,-1.573437399,-0.077403359,-0.970174385,-0.184136534,-1.58005763,-0.474767791,-0.135297431,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.9_cy=2.3_cz=11.7.log
0,2.5,11.7,7.8,6,27,2,-6,0,-9.882786765,-1.408791325,-1.40878505,-0.0612136,-1.306067938,-0.0612136,-1.306067938,-0.147376998,-0.93528483,-0.93528483,-0.147376998,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.0_cy=2.5_cz=11.7.log
1.1,2.4,11.6,7.8,6,27,2,-6,0,-9.882259659,-1.776863591,-0.67363826,-0.079028609,-0.602622953,-0.046987949,-1.67577173,-0.130917411,-0.433747462,-1.758835229,-0.190173181,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.1_cy=2.4_cz=11.6.log
-1.1,2.4,11.6,7.8,6,27,2,-6,0,-9.882259659,-0.67363826,-1.776863591,-0.046987949,-1.67577173,-0.079028609,-0.602622953,-0.190173181,-1.758835229,-0.433747462,-0.130917411,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.1_cy=2.4_cz=11.6.log
-0.1,2.5,11.7,7.8,6,27,2,-6,0,-9.880778734,-1.352848809,-1.461602567,-0.059745227,-1.387499911,-0.062625498,-1.219346056,-0.149554458,-1.004197978,-0.869653559,-0.145149338,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.1_cy=2.5_cz=11.7.log
0.1,2.5,11.7,7.8,6,27,2,-6,0,-9.880778734,-1.461602567,-1.352848809,-0.062625498,-1.219346056,-0.059745227,-1.387499911,-0.145149338,-0.869653559,-1.004197978,-0.149554458,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.1_cy=2.5_cz=11.7.log
-1,2.4,11.7,7.8,6,27,2,-6,0,-9.877678835,-0.845845829,-1.691108075,-0.04644829,-1.602666815,-0.075232174,-0.818624446,-0.175746726,-1.654612093,-0.440668897,-0.127848887,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.0_cy=2.4_cz=11.7.log
1,2.4,11.7,7.8,6,27,2,-6,0,-9.87767256,-1.691108075,-0.845839554,-0.075232174,-0.818624446,-0.04644829,-1.602666815,-0.127848887,-0.440668897,-1.654612093,-0.175746726,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.0_cy=2.4_cz=11.7.log
0.9,2.5,11.6,7.8,6,27,2,-6,0,-9.87135981,-1.760830711,-0.815744175,-0.074497987,-0.406457052,-0.048926955,-1.758188893,-0.131915152,-0.504028582,-1.691873637,-0.175539647,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.9_cy=2.5_cz=11.6.log
-0.9,2.5,11.6,7.8,6,27,2,-6,0,-9.87135981,-0.815744175,-1.760830711,-0.048926955,-1.758188893,-0.074497987,-0.406457052,-0.175539647,-1.691873637,-0.504028582,-0.131915152,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.9_cy=2.5_cz=11.6.log
1,2.3,11.7,7.8,6,27,2,-6,0,-9.860698415,-1.705346277,-0.761069228,-0.078244222,-0.932862641,-0.048180218,-1.547508686,-0.13239206,-0.440606146,-1.634418821,-0.186326544,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.0_cy=2.3_cz=11.7.log
-1,2.3,11.7,7.8,6,27,2,-6,0,-9.860698415,-0.761069228,-1.705346277,-0.048180218,-1.547508686,-0.078244222,-0.932862641,-0.186326544,-1.634418821,-0.440606146,-0.13239206,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.0_cy=2.3_cz=11.7.log
-1.1,2.3,11.6,7.8,6,27,2,-6,0,-9.858602531,-0.561853629,-1.79154105,-0.048757527,-1.617639203,-0.082222635,-0.757705775,-0.202164897,-1.728074689,-0.433684711,-0.13551706,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.1_cy=2.3_cz=11.6.log
1.1,2.3,11.6,7.8,6,27,2,-6,0,-9.858583706,-1.79154105,-0.561847354,-0.082222635,-0.757693225,-0.048757527,-1.617639203,-0.13551706,-0.433684711,-1.728074689,-0.202164897,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.1_cy=2.3_cz=11.6.log
0.8,2.3,11.5,7.8,6,27,2,-6,0,-9.854486067,-1.75950039,-0.263001991,-0.083107424,-0.694245689,-0.057555217,-1.781061633,-0.152139799,-0.578463819,-1.669640958,-0.207762286,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.8_cy=2.3_cz=11.5.log
-0.8,2.3,11.5,7.8,6,27,2,-6,0,-9.854479792,-0.263001991,-1.75950039,-0.057555217,-1.781061633,-0.083107424,-0.694239414,-0.207762286,-1.669640958,-0.578463819,-0.152139799,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.8_cy=2.3_cz=11.5.log
0.1,2.3,11.7,7.8,6,27,2,-6,0,-9.849102031,-1.287324215,-1.146222316,-0.067727154,-1.40026974,-0.064577054,-1.496372896,-0.158358424,-0.869032324,-1.001989143,-0.163924437,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.1_cy=2.3_cz=11.7.log
