a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.9,8.8,64.5,-5,33,-52.0474038,-7.742042677,-9.140829611,1,Done,tetracene_A1=-5_A2=33_a=5.9_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
6,8.6,65,-2,33,-54.70414811,-7.509683254,-9.921195399,2,Done,tetracene_A1=-2_A2=33_a=6.0_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
6,8.6,65,-3,33,-54.10188911,-7.492520856,-9.779211849,2,Done,tetracene_A1=-3_A2=33_a=6.0_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
6,8.6,65,-1,33,-54.95089759,-7.506456598,-9.984496098,2,Done,tetracene_A1=-1_A2=33_a=6.0_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.8,65,-6,33,-50.94545231,-7.765926335,-8.85339991,1,Done,tetracene_A1=-6_A2=33_a=5.9_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.8,65,-4,33,-53.58674607,-7.807970133,-9.492701451,1,Done,tetracene_A1=-4_A2=33_a=5.9_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.8,65,-5,33,-52.47918088,-7.796275857,-9.221657291,1,Done,tetracene_A1=-5_A2=33_a=5.9_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
6,8.7,64,-2,33,-54.15562404,-7.433522366,-9.822144828,2,Done,tetracene_A1=-2_A2=33_a=6.0_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
6,8.7,64,-3,33,-53.48281284,-7.381371264,-9.680017578,2,Done,tetracene_A1=-3_A2=33_a=6.0_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
6,8.7,64,-1,33,-54.49182382,-7.473285164,-9.886313373,2,Done,tetracene_A1=-1_A2=33_a=6.0_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
6,8.6,64,-6,33,-48.35376699,-7.175406167,-8.500738663,1,Done,tetracene_A1=-6_A2=33_a=6.0_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
6,8.7,64.5,-2,33,-54.38063156,-7.479933005,-9.855191387,2,Done,tetracene_A1=-2_A2=33_a=6.0_b=8.7_theta=64.5_cx=0_cy=0_cz=0.log
6,8.7,64.5,-3,33,-53.79951463,-7.443562526,-9.728097394,2,Done,tetracene_A1=-3_A2=33_a=6.0_b=8.7_theta=64.5_cx=0_cy=0_cz=0.log
6,8.6,64,-4,33,-52.15666333,-7.319394612,-9.379468526,1,Done,tetracene_A1=-4_A2=33_a=6.0_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
6,8.6,64,-5,33,-50.5042538,-7.249978201,-9.001074349,1,Done,tetracene_A1=-5_A2=33_a=6.0_b=8.6_theta=64.0_cx=0_cy=0_cz=0.log
6,8.7,64.5,-1,33,-54.63551859,-7.500308255,-9.908725521,2,Done,tetracene_A1=-1_A2=33_a=6.0_b=8.7_theta=64.5_cx=0_cy=0_cz=0.log
6,8.6,64.5,-6,33,-49.12784826,-7.268327848,-8.647798141,1,Done,tetracene_A1=-6_A2=33_a=6.0_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
